datatype,_clipped,_debug,_green_area_m2,_green_percentage,_green_pixels,_is_green_roof,_ndvi_avg,_ndvi_max,_ndvi_min,_pixel_area_m2,_total_pixels,geotiff_byte_order,geotiff_compression_method,geotiff_interleaving_type
Generic,yes,"Step 1: Get raster | 252x198, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (252, 198) | Range: -0.297 to 65536.000 | Valid pixels: 24327 | NDVI avg: 0.062 | Green: 1.1% (2.7 m2) | Result: No | SUCCESS",2.7,1.11,270,No,0.0616,0.6713,-0.2967,0.01,24327,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 193x214, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (193, 214) | Range: -0.964 to 65536.000 | Valid pixels: 19628 | NDVI avg: 0.057 | Green: 0.2% (0.3 m2) | Result: No | SUCCESS",0.32,0.16,32,No,0.0575,0.7734,-0.9637,0.01,19628,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 260x237, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (260, 237) | Range: -0.396 to 65536.000 | Valid pixels: 26639 | NDVI avg: -0.009 | Green: 1.1% (2.8 m2) | Result: No | SUCCESS",2.84,1.07,284,No,-0.0089,0.7045,-0.3961,0.01,26639,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 161x162, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (161, 162) | Range: -0.245 to 65536.000 | Valid pixels: 14222 | NDVI avg: 0.138 | Green: 1.6% (2.3 m2) | Result: No | SUCCESS",2.26,1.59,226,No,0.138,0.4551,-0.2445,0.01,14222,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 138x144, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (138, 144) | Range: -0.263 to 65536.000 | Valid pixels: 11288 | NDVI avg: 0.039 | Green: 0.8% (0.9 m2) | Result: No | SUCCESS",0.87,0.77,87,No,0.0385,0.5043,-0.2626,0.01,11288,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 415x342, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (415, 342) | Range: -0.483 to 65536.000 | Valid pixels: 68789 | NDVI avg: -0.043 | Green: 7.0% (48.2 m2) | Result: No | SUCCESS",48.17,7,4817,No,-0.043,0.7391,-0.4828,0.01,68789,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 135x193, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (135, 193) | Range: -0.449 to 65536.000 | Valid pixels: 15447 | NDVI avg: -0.038 | Green: 0.4% (0.6 m2) | Result: No | SUCCESS",0.56,0.36,56,No,-0.0382,0.6849,-0.4487,0.01,15447,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 137x106, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (137, 106) | Range: -0.302 to 65536.000 | Valid pixels: 7521 | NDVI avg: 0.280 | Green: 57.8% (43.5 m2) | Result: Yes | SUCCESS",43.48,57.81,4348,Yes,0.2796,0.6652,-0.3022,0.01,7521,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 169x183, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (169, 183) | Range: -0.287 to 65536.000 | Valid pixels: 16352 | NDVI avg: 0.100 | Green: 1.4% (2.2 m2) | Result: No | SUCCESS",2.23,1.36,223,No,0.0998,0.5318,-0.2866,0.01,16352,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 205x187, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (205, 187) | Range: -0.235 to 65536.000 | Valid pixels: 20266 | NDVI avg: 0.112 | Green: 0.6% (1.3 m2) | Result: No | SUCCESS",1.28,0.63,128,No,0.1124,0.3873,-0.2352,0.01,20266,LSB,lzw,BIP
